model_size_pct,data_subset_pct,step,train_loss,test_accuracy,test_error_rate,test_f1,test_precision,elapsed_sec
12.5,100,3000,0.03774,0.90533,0.09467,0.90007,0.91489,80.32
12.5,100,3500,0.02982,0.97133,0.02867,0.9713,0.97154,92.4
12.5,100,4000,0.00719,0.97667,0.02333,0.97664,0.97671,103.99
12.5,100,4500,0.00321,0.954,0.046,0.95399,0.95583,115.31
12.5,100,5000,0.0109,0.97867,0.02133,0.97863,0.97878,126.82
12.5,100,5500,0.00333,0.97867,0.02133,0.97865,0.97869,138.26
12.5,100,6000,0.00125,0.97267,0.02733,0.97262,0.97285,149.63
12.5,100,6500,0.00061,0.97467,0.02533,0.97463,0.97475,160.92
12.5,100,7000,0.00033,0.97667,0.02333,0.97664,0.97672,172.38
12.5,100,7500,0.00028,0.97867,0.02133,0.97864,0.9787,183.82
12.5,100,8000,0.00026,0.97733,0.02267,0.97733,0.9774,195.37
25.0,1,500,0.29176,0.266,0.734,0.24752,0.29603,24.21
25.0,1,1000,0.03755,0.22733,0.77267,0.22291,0.24685,32.99
25.0,1,1500,0.00495,0.24267,0.75733,0.23051,0.25353,41.77
25.0,1,2000,0.01976,0.246,0.754,0.22849,0.2572,50.59
25.0,1,2500,0.00497,0.27867,0.72133,0.27984,0.29255,59.51
25.0,1,3000,0.00026,0.29,0.71,0.28297,0.28316,68.21
25.0,1,3500,9e-05,0.298,0.702,0.2825,0.28331,77.01
25.0,1,4000,3e-05,0.29667,0.70333,0.28906,0.29736,85.78
25.0,1,4500,0.01295,0.264,0.736,0.25451,0.26519,94.57
25.0,1,5000,0.00049,0.28067,0.71933,0.26414,0.27672,103.43
25.0,1,5500,0.00124,0.23867,0.76133,0.22456,0.25251,112.11
25.0,1,6000,9e-05,0.23533,0.76467,0.22931,0.25417,120.94
25.0,1,6500,0.0001,0.25933,0.74067,0.25356,0.2673,129.67
25.0,1,7000,4e-05,0.25467,0.74533,0.24727,0.27406,138.48
25.0,1,7500,0.00015,0.24933,0.75067,0.24444,0.26307,147.25
25.0,1,8000,2e-05,0.24733,0.75267,0.24251,0.26623,156.27
25.0,2,500,0.23311,0.49267,0.50733,0.48082,0.4895,15.72
25.0,2,1000,0.03092,0.33267,0.66733,0.33279,0.38939,26.43
25.0,2,1500,0.00709,0.388,0.612,0.38127,0.39399,37.22
25.0,2,2000,0.01775,0.36867,0.63133,0.35552,0.36221,47.91
25.0,2,2500,0.01057,0.37333,0.62667,0.36619,0.39609,58.75
25.0,2,3000,0.01088,0.348,0.652,0.33902,0.35421,69.51
25.0,2,3500,0.00115,0.34933,0.65067,0.33473,0.35684,80.47
25.0,2,4000,0.00113,0.36,0.64,0.35813,0.36065,91.22
25.0,2,4500,5e-05,0.36867,0.63133,0.36514,0.36808,102.14
25.0,2,5000,3e-05,0.37133,0.62867,0.36322,0.36601,112.98
25.0,2,5500,6e-05,0.37,0.63,0.36125,0.36149,123.81
25.0,2,6000,1e-05,0.36933,0.63067,0.35992,0.36039,134.73
25.0,2,6500,6e-05,0.374,0.626,0.35984,0.36207,145.63
25.0,2,7000,2e-05,0.37867,0.62133,0.36919,0.37015,156.45
25.0,2,7500,2e-05,0.37733,0.62267,0.36351,0.36803,167.21
25.0,2,8000,2e-05,0.37733,0.62267,0.36262,0.3633,178.05
25.0,5,500,0.24182,0.628,0.372,0.62135,0.62592,20.48
25.0,5,1000,0.00872,0.604,0.396,0.59432,0.60011,33.02
25.0,5,1500,5e-05,0.60467,0.39533,0.59475,0.59574,45.47
25.0,5,2000,0.05972,0.60267,0.39733,0.60028,0.6075,57.96
25.0,5,2500,0.00043,0.64533,0.35467,0.63684,0.63825,70.53
25.0,5,3000,0.00015,0.64533,0.35467,0.63502,0.63702,82.99
25.0,5,3500,8e-05,0.65933,0.34067,0.65099,0.65237,95.56
25.0,5,4000,6e-05,0.66,0.34,0.65243,0.65537,108.12
25.0,5,4500,3e-05,0.66733,0.33267,0.65911,0.65884,120.71
25.0,5,5000,3e-05,0.66667,0.33333,0.65801,0.65861,133.27
25.0,5,5500,3e-05,0.66667,0.33333,0.65878,0.66088,145.76
25.0,5,6000,3e-05,0.664,0.336,0.65576,0.6582,158.31
25.0,5,6500,0.00366,0.60933,0.39067,0.60143,0.60003,170.92
25.0,5,7000,0.00015,0.628,0.372,0.61966,0.61818,183.5
25.0,5,7500,9e-05,0.624,0.376,0.61622,0.61477,196.03
25.0,5,8000,8e-05,0.626,0.374,0.61745,0.61653,208.64
25.0,10,500,0.3012,0.64,0.36,0.62871,0.64878,20.84
25.0,10,1000,0.00247,0.742,0.258,0.73478,0.73842,34.35
25.0,10,1500,6e-05,0.74267,0.25733,0.73536,0.73983,47.97
25.0,10,2000,3e-05,0.742,0.258,0.73466,0.73888,61.49
25.0,10,2500,2e-05,0.738,0.262,0.72989,0.73417,75.02
25.0,10,3000,2e-05,0.73267,0.26733,0.72419,0.72872,88.62
25.0,10,3500,1e-05,0.74,0.26,0.73168,0.73605,102.13
25.0,10,4000,1e-05,0.74,0.26,0.7327,0.73677,115.62
25.0,10,4500,1e-05,0.74,0.26,0.73165,0.73532,129.18
25.0,10,5000,1e-05,0.738,0.262,0.72946,0.73246,142.79
25.0,10,5500,1e-05,0.74,0.26,0.73147,0.7348,156.28
25.0,10,6000,1e-05,0.74067,0.25933,0.7326,0.73602,169.87
25.0,10,6500,0.0,0.73867,0.26133,0.7297,0.73393,183.43
25.0,10,7000,0.0,0.738,0.262,0.72847,0.73464,196.97
25.0,10,7500,0.0,0.74067,0.25933,0.7325,0.73514,210.51
25.0,10,8000,0.0,0.73933,0.26067,0.73048,0.73506,224.03
25.0,20,500,0.44817,0.68533,0.31467,0.67049,0.72738,20.38
25.0,20,1000,0.02636,0.83,0.17,0.82592,0.82874,33.88
25.0,20,1500,0.00023,0.83533,0.16467,0.83231,0.83339,47.36
25.0,20,2000,0.00011,0.834,0.166,0.83075,0.83195,60.84
25.0,20,2500,7e-05,0.83867,0.16133,0.83549,0.83707,74.38
25.0,20,3000,4e-05,0.842,0.158,0.83927,0.8404,87.92
25.0,20,3500,4e-05,0.836,0.164,0.8326,0.83484,101.47
25.0,20,4000,3e-05,0.83267,0.16733,0.82948,0.83021,114.94
25.0,20,4500,2e-05,0.84,0.16,0.83689,0.83865,128.41
25.0,20,5000,2e-05,0.83467,0.16533,0.83099,0.83238,141.98
25.0,20,5500,2e-05,0.83267,0.16733,0.82933,0.83139,155.54
25.0,20,6000,2e-05,0.84,0.16,0.83664,0.83809,169.08
25.0,20,6500,1e-05,0.838,0.162,0.83474,0.83613,182.64
25.0,20,7000,1e-05,0.836,0.164,0.83216,0.83402,196.19
25.0,20,7500,1e-05,0.83667,0.16333,0.83302,0.83546,209.74
25.0,20,8000,1e-05,0.838,0.162,0.83466,0.83694,223.28
25.0,50,500,0.6325,0.63267,0.36733,0.63392,0.78425,19.96
25.0,50,1000,0.18401,0.84067,0.15933,0.84302,0.86425,33.5
25.0,50,1500,0.07319,0.75667,0.24333,0.73536,0.82953,47.06
25.0,50,2000,0.03068,0.94467,0.05533,0.94439,0.94504,60.56
25.0,50,2500,0.04294,0.932,0.068,0.93193,0.93494,74.11
25.0,50,3000,0.01796,0.92267,0.07733,0.92197,0.92618,87.52
25.0,50,3500,0.01277,0.94067,0.05933,0.9403,0.9405,101.1
25.0,50,4000,0.00057,0.94133,0.05867,0.94111,0.94138,114.55
25.0,50,4500,0.00028,0.94933,0.05067,0.94913,0.94939,128.12
25.0,50,5000,0.00026,0.95133,0.04867,0.95119,0.95151,141.66
25.0,50,5500,0.00025,0.95067,0.04933,0.95062,0.95113,155.19
25.0,50,6000,0.00012,0.94733,0.05267,0.94721,0.94764,168.71
25.0,50,6500,8e-05,0.94933,0.05067,0.9493,0.94974,182.3
25.0,50,7000,6e-05,0.94733,0.05267,0.94719,0.94744,195.89
25.0,50,7500,7e-05,0.95133,0.04867,0.95125,0.95167,209.34
25.0,50,8000,7e-05,0.94933,0.05067,0.94927,0.94974,222.9
25.0,100,500,0.66958,0.72933,0.27067,0.72088,0.78445,20.45
25.0,100,1000,0.23779,0.87667,0.12333,0.87672,0.89696,33.84
25.0,100,1500,0.13511,0.76667,0.23333,0.76069,0.82068,47.35
25.0,100,2000,0.08755,0.95667,0.04333,0.95674,0.95801,60.9
25.0,100,2500,0.04139,0.93467,0.06533,0.93499,0.9375,74.45
25.0,100,3000,0.03451,0.954,0.046,0.95348,0.95564,88.08
25.0,100,3500,0.01825,0.97533,0.02467,0.97536,0.97553,101.71
25.0,100,4000,0.015,0.92267,0.07733,0.92163,0.92791,115.21
25.0,100,4500,0.0181,0.972,0.028,0.97199,0.97224,128.74
25.0,100,5000,0.00594,0.972,0.028,0.972,0.97262,142.36
25.0,100,5500,0.00085,0.978,0.022,0.978,0.97805,155.86
25.0,100,6000,0.00056,0.978,0.022,0.97798,0.97804,169.45
25.0,100,6500,0.00042,0.97667,0.02333,0.97664,0.97672,182.95
25.0,100,7000,0.00026,0.98067,0.01933,0.98064,0.98068,196.51
25.0,100,7500,0.00024,0.97933,0.02067,0.97932,0.97938,210.16
25.0,100,8000,0.0003,0.97867,0.02133,0.97864,0.97872,223.74
50.0,1,500,0.34142,0.276,0.724,0.27952,0.31511,26.36
50.0,1,1000,0.03501,0.28867,0.71133,0.27008,0.29928,41.61
50.0,1,1500,0.02396,0.29533,0.70467,0.27347,0.2927,56.88
50.0,1,2000,0.0065,0.28667,0.71333,0.27023,0.26542,71.95
50.0,1,2500,0.00089,0.29667,0.70333,0.28302,0.28239,87.07
50.0,1,3000,0.00322,0.27733,0.72267,0.26524,0.26648,102.24
50.0,1,3500,0.00885,0.21067,0.78933,0.20248,0.21631,117.42
50.0,1,4000,0.0134,0.24133,0.75867,0.22728,0.24321,132.63
50.0,1,4500,0.00036,0.26933,0.73067,0.26646,0.28016,147.83
50.0,1,5000,5e-05,0.286,0.714,0.27344,0.28324,163.17
50.0,1,5500,4e-05,0.28333,0.71667,0.2744,0.27743,178.59
50.0,1,6000,2e-05,0.29333,0.70667,0.28306,0.28874,193.73
50.0,1,6500,3e-05,0.284,0.716,0.27646,0.29094,208.93
50.0,1,7000,6e-05,0.294,0.706,0.28616,0.29193,224.04
50.0,1,7500,3e-05,0.28933,0.71067,0.28349,0.29673,239.17
50.0,1,8000,3e-05,0.29533,0.70467,0.28641,0.29303,254.39
50.0,2,500,0.26829,0.45267,0.54733,0.44333,0.46328,23.66
50.0,2,1000,0.03541,0.35867,0.64133,0.34093,0.37567,42.1
