model_size_pct,data_subset_pct,step,train_loss,test_accuracy,test_error_rate,test_f1,test_precision,elapsed_sec
12.5,50,500,0.65699,0.78133,0.21867,0.77351,0.79977,17.23
12.5,50,1000,0.17472,0.89867,0.10133,0.89832,0.9079,27.67
12.5,50,1500,0.05767,0.89867,0.10133,0.89834,0.90066,38.11
12.5,50,2000,0.05008,0.85267,0.14733,0.85256,0.87926,48.53
12.5,50,2500,0.03813,0.93733,0.06267,0.93742,0.93929,58.92
12.5,50,3000,0.01511,0.81867,0.18133,0.8252,0.85793,69.32
12.5,50,3500,0.01389,0.93533,0.06467,0.93504,0.93594,79.72
12.5,50,4000,0.02541,0.86067,0.13933,0.85605,0.86593,90.12
12.5,50,4500,0.00798,0.936,0.064,0.93579,0.93734,100.56
12.5,50,5000,0.00028,0.94133,0.05867,0.94105,0.94207,110.97
12.5,50,5500,0.00019,0.94067,0.05933,0.9405,0.94193,121.34
12.5,50,6000,0.0002,0.936,0.064,0.9357,0.93731,131.78
12.5,50,6500,0.00016,0.94133,0.05867,0.94113,0.94234,142.35
12.5,50,7000,0.00014,0.93667,0.06333,0.9363,0.93731,152.73
12.5,50,7500,8e-05,0.94,0.06,0.93968,0.94089,163.12
12.5,50,8000,5e-05,0.94267,0.05733,0.94256,0.94311,173.54
12.5,50,8500,6e-05,0.94267,0.05733,0.94244,0.94328,183.97
12.5,50,9000,5e-05,0.94133,0.05867,0.94104,0.9423,194.4
12.5,50,9500,5e-05,0.94467,0.05533,0.94446,0.9455,204.81
12.5,50,10000,6e-05,0.942,0.058,0.94174,0.94272,215.23
12.5,100,500,0.71698,0.768,0.232,0.76445,0.80025,17.04
12.5,100,1000,0.26119,0.86933,0.13067,0.87176,0.8885,27.41
12.5,100,1500,0.13817,0.89067,0.10933,0.88888,0.89671,37.81
12.5,100,2000,0.08846,0.92867,0.07133,0.92875,0.93137,48.23
12.5,100,2500,0.05886,0.89333,0.10667,0.89425,0.91025,58.65
12.5,100,3000,0.04661,0.962,0.038,0.96186,0.96251,69.09
12.5,100,3500,0.02085,0.934,0.066,0.93419,0.93802,79.54
12.5,100,4000,0.03035,0.9,0.1,0.89802,0.90914,90.05
12.5,100,4500,0.01715,0.97267,0.02733,0.97268,0.9729,100.55
12.5,100,5000,0.00275,0.97,0.03,0.96998,0.97044,110.94
12.5,100,5500,0.01035,0.93,0.07,0.93068,0.93746,121.39
12.5,100,6000,0.00641,0.97333,0.02667,0.97328,0.97342,131.84
12.5,100,6500,0.00046,0.978,0.022,0.97798,0.97812,142.29
12.5,100,7000,0.00039,0.98,0.02,0.98001,0.98024,152.72
12.5,100,7500,0.00028,0.97533,0.02467,0.97529,0.97538,163.12
12.5,100,8000,0.0002,0.978,0.022,0.97798,0.97818,173.6
12.5,100,8500,0.00026,0.98,0.02,0.97998,0.98006,184.06
12.5,100,9000,0.00015,0.97933,0.02067,0.97932,0.97941,194.5
12.5,100,9500,0.00014,0.97867,0.02133,0.97863,0.97869,204.98
12.5,100,10000,0.00014,0.97733,0.02267,0.97727,0.9774,215.41
25.0,1,500,0.2956,0.18467,0.81533,0.16737,0.21168,23.64
25.0,1,1000,0.03414,0.28867,0.71133,0.26336,0.27306,31.8
25.0,1,1500,0.01131,0.23467,0.76533,0.20815,0.22483,40.06
25.0,1,2000,0.00954,0.208,0.792,0.19593,0.20699,48.27
25.0,1,2500,0.01002,0.234,0.766,0.22853,0.26368,56.72
25.0,1,3000,0.00624,0.268,0.732,0.25919,0.26459,65.25
25.0,1,3500,0.00018,0.25533,0.74467,0.24344,0.24969,73.61
25.0,1,4000,3e-05,0.262,0.738,0.24294,0.24479,81.77
25.0,1,4500,7e-05,0.25533,0.74467,0.2321,0.24589,89.8
25.0,1,5000,2e-05,0.262,0.738,0.24184,0.24565,97.89
25.0,1,5500,1e-05,0.26933,0.73067,0.24801,0.26303,106.22
25.0,1,6000,1e-05,0.26733,0.73267,0.2473,0.26357,114.73
25.0,1,6500,1e-05,0.264,0.736,0.24853,0.25224,123.15
25.0,1,7000,1e-05,0.27,0.73,0.25384,0.26095,131.71
25.0,1,7500,0.0,0.28067,0.71933,0.26559,0.28068,140.21
25.0,1,8000,1e-05,0.272,0.728,0.253,0.26501,148.57
25.0,1,8500,1e-05,0.27067,0.72933,0.25012,0.26151,156.95
25.0,1,9000,1e-05,0.266,0.734,0.24497,0.25989,165.39
25.0,1,9500,1e-05,0.27467,0.72533,0.26099,0.2646,173.89
25.0,1,10000,1e-05,0.274,0.726,0.25627,0.25886,182.42
25.0,2,500,0.23832,0.352,0.648,0.35177,0.37558,14.77
25.0,2,1000,0.05841,0.33533,0.66467,0.31781,0.33495,24.78
25.0,2,1500,0.00759,0.30933,0.69067,0.29986,0.35196,34.76
25.0,2,2000,0.01768,0.37667,0.62333,0.36065,0.3655,44.75
25.0,2,2500,0.01464,0.31333,0.68667,0.31636,0.32719,54.69
25.0,2,3000,0.00164,0.366,0.634,0.35346,0.35811,64.61
25.0,2,3500,0.00543,0.348,0.652,0.34623,0.36342,74.54
25.0,2,4000,0.00073,0.31933,0.68067,0.30976,0.31842,84.5
25.0,2,4500,0.00094,0.36067,0.63933,0.33295,0.33749,94.44
25.0,2,5000,0.00887,0.314,0.686,0.31511,0.33011,104.41
25.0,2,5500,0.00285,0.34467,0.65533,0.3108,0.32354,114.34
25.0,2,6000,0.00295,0.30133,0.69867,0.30386,0.31867,124.29
25.0,2,6500,0.00069,0.32533,0.67467,0.32025,0.32124,133.95
25.0,2,7000,0.00011,0.326,0.674,0.32757,0.33518,143.29
25.0,2,7500,3e-05,0.33267,0.66733,0.33313,0.3365,152.9
25.0,2,8000,3e-05,0.33533,0.66467,0.33597,0.34112,162.58
25.0,2,8500,1e-05,0.33467,0.66533,0.33548,0.33959,172.45
25.0,2,9000,2e-05,0.332,0.668,0.3303,0.33238,182.41
25.0,2,9500,1e-05,0.33467,0.66533,0.33448,0.33848,192.38
25.0,2,10000,1e-05,0.338,0.662,0.3359,0.33714,202.35
25.0,5,500,0.24697,0.65133,0.34867,0.63948,0.63704,18.99
25.0,5,1000,0.00017,0.65467,0.34533,0.6423,0.64046,30.49
25.0,5,1500,0.08778,0.654,0.346,0.6479,0.64858,42.01
25.0,5,2000,0.00023,0.67533,0.32467,0.6684,0.67071,53.55
25.0,5,2500,9e-05,0.67333,0.32667,0.66583,0.66755,65.08
25.0,5,3000,0.03554,0.65733,0.34267,0.64653,0.64934,76.59
25.0,5,3500,0.00067,0.65933,0.34067,0.65018,0.65368,88.14
25.0,5,4000,0.00013,0.67267,0.32733,0.66018,0.66121,99.74
25.0,5,4500,8e-05,0.674,0.326,0.66545,0.66894,111.34
25.0,5,5000,4e-05,0.67467,0.32533,0.66512,0.66738,122.92
25.0,5,5500,6e-05,0.666,0.334,0.65574,0.6541,134.48
25.0,5,6000,0.01881,0.63133,0.36867,0.62267,0.63125,146.04
25.0,5,6500,0.00029,0.63333,0.36667,0.62372,0.62238,157.61
25.0,5,7000,6e-05,0.63933,0.36067,0.62703,0.62281,169.2
25.0,5,7500,6e-05,0.646,0.354,0.63424,0.63096,180.78
25.0,5,8000,0.00014,0.642,0.358,0.62839,0.62148,192.4
25.0,5,8500,4e-05,0.642,0.358,0.6303,0.62526,204.0
25.0,5,9000,3e-05,0.648,0.352,0.63486,0.62976,215.59
25.0,5,9500,3e-05,0.64267,0.35733,0.63079,0.62527,227.14
25.0,5,10000,3e-05,0.64933,0.35067,0.638,0.63333,238.66
25.0,10,500,0.31311,0.64333,0.35667,0.61709,0.64838,19.32
25.0,10,1000,0.00678,0.704,0.296,0.69681,0.69485,31.8
25.0,10,1500,6e-05,0.70067,0.29933,0.6915,0.69129,44.23
25.0,10,2000,3e-05,0.702,0.298,0.69365,0.69184,56.65
25.0,10,2500,2e-05,0.70067,0.29933,0.69128,0.68935,69.05
25.0,10,3000,2e-05,0.708,0.292,0.69923,0.69839,81.44
25.0,10,3500,1e-05,0.704,0.296,0.69453,0.6923,93.94
25.0,10,4000,1e-05,0.70733,0.29267,0.69827,0.69619,106.43
25.0,10,4500,1e-05,0.708,0.292,0.69925,0.69745,118.94
25.0,10,5000,1e-05,0.70733,0.29267,0.69782,0.69613,131.46
25.0,10,5500,0.0,0.70867,0.29133,0.69953,0.69828,143.89
25.0,10,6000,0.0,0.70933,0.29067,0.69961,0.69787,156.33
25.0,10,6500,0.0,0.71067,0.28933,0.70107,0.69951,168.84
25.0,10,7000,0.0,0.70667,0.29333,0.69712,0.69601,181.34
25.0,10,7500,0.0,0.71,0.29,0.70125,0.70117,193.85
25.0,10,8000,0.0,0.70867,0.29133,0.69949,0.69868,206.37
25.0,10,8500,0.0,0.70933,0.29067,0.69959,0.69888,218.89
25.0,10,9000,0.0,0.70933,0.29067,0.69917,0.69901,231.36
25.0,10,9500,0.0,0.71333,0.28667,0.70397,0.70291,243.86
25.0,10,10000,0.0,0.71,0.29,0.70003,0.69956,256.39
25.0,20,500,0.4275,0.52867,0.47133,0.51557,0.65762,18.54
25.0,20,1000,0.03614,0.81667,0.18333,0.81289,0.81307,30.27
25.0,20,1500,0.00019,0.81467,0.18533,0.81021,0.8121,41.94
25.0,20,2000,0.0001,0.81667,0.18333,0.81211,0.8141,53.57
25.0,20,2500,6e-05,0.81333,0.18667,0.80889,0.81021,65.23
25.0,20,3000,4e-05,0.81667,0.18333,0.81217,0.81399,76.87
25.0,20,3500,3e-05,0.81333,0.18667,0.8089,0.80982,88.51
25.0,20,4000,2e-05,0.81067,0.18933,0.80647,0.80812,100.21
25.0,20,4500,2e-05,0.81267,0.18733,0.80845,0.80991,111.93
25.0,20,5000,1e-05,0.81267,0.18733,0.80739,0.80918,123.61
25.0,20,5500,1e-05,0.81067,0.18933,0.80581,0.80743,135.85
25.0,20,6000,1e-05,0.81,0.19,0.80546,0.80683,148.33
25.0,20,6500,1e-05,0.81,0.19,0.80551,0.80922,160.82
25.0,20,7000,1e-05,0.812,0.188,0.80728,0.80895,173.3
25.0,20,7500,1e-05,0.81,0.19,0.80493,0.80632,185.81
25.0,20,8000,1e-05,0.80933,0.19067,0.80485,0.80714,198.29
25.0,20,8500,0.0,0.81133,0.18867,0.80698,0.8084,210.79
25.0,20,9000,0.0,0.81267,0.18733,0.80775,0.80935,223.29
25.0,20,9500,0.0,0.81067,0.18933,0.80605,0.80821,235.75
25.0,20,10000,0.0,0.81067,0.18933,0.80525,0.80809,248.22
25.0,50,500,0.62206,0.73133,0.26867,0.73084,0.77732,18.45
25.0,50,1000,0.1411,0.85,0.15,0.84896,0.86537,30.2
